Year,Conference,Round,Team with home-court (seed),Team with home-court odds,Team w/o home-court (seed),Team w/o home-court odds,Winning Team,Series Score,team
1970,Eastern,Conf Finals,New York Knicks (1),,Milwaukee Bucks (2),,New York Knicks,4-1,MIL
1970,Eastern,Conf Semis,Milwaukee Bucks (2),,Philadelphia 76ers (4),,Milwaukee Bucks,4-1,MIL
2024,Western,Conf Finals,Minnesota Timberwolves (3),-175.0,Dallas Mavericks (5),155.0,Dallas Mavericks,4-1,MIN
2024,Western,Conf Semis,Denver Nuggets (2),-200.0,Minnesota Timberwolves (3),170.0,Minnesota Timberwolves,4-3,MIN
2024,Western,Round 1,Minnesota Timberwolves (3),110.0,Phoenix Suns (6),-130.0,Minnesota Timberwolves,4-0,MIN
2023,Western,Round 1,Denver Nuggets (1),-550.0,Minnesota Timberwolves (8),425.0,Denver Nuggets,4-1,MIN
2022,Western,Round 1,Memphis Grizzlies (2),-320.0,Minnesota Timberwolves (7),260.0,Memphis Grizzlies,4-2,MIN
2018,Western,Round 1,Houston Rockets (1),-3000.0,Minnesota Timberwolves (8),1500.0,Houston Rockets,4-1,MIN
2004,Western,Conf Finals,Minnesota Timberwolves (1),270.0,Los Angeles Lakers (2),-330.0,Los Angeles Lakers,4-2,MIN
2004,Western,Conf Semis,Minnesota Timberwolves (1),-220.0,Sacramento Kings (4),170.0,Minnesota Timberwolves,4-3,MIN
2004,Western,Round 1,Minnesota Timberwolves (1),-1920.0,Denver Nuggets (8),1540.0,Minnesota Timberwolves,4-1,MIN
2003,Western,Round 1,Minnesota Timberwolves (4),320.0,Los Angeles Lakers (5),-400.0,Los Angeles Lakers,4-2,MIN
2002,Western,Round 1,Dallas Mavericks (4),-500.0,Minnesota Timberwolves (5),400.0,Dallas Mavericks,3-0,MIN
2001,Western,Round 1,San Antonio Spurs (1),-900.0,Minnesota Timberwolves (8),600.0,San Antonio Spurs,3-1,MIN
2000,Western,Round 1,Portland Trail Blazers (3),-330.0,Minnesota Timberwolves (6),250.0,Portland Trail Blazers,3-1,MIN
1999,Western,Round 1,San Antonio Spurs (1),-1500.0,Minnesota Timberwolves (8),1000.0,San Antonio Spurs,3-1,MIN
1998,Western,Round 1,Seattle SuperSonics (2),-2000.0,Minnesota Timberwolves (7),1400.0,Seattle SuperSonics,3-2,MIN
1997,Western,Round 1,Houston Rockets (3),-1300.0,Minnesota Timberwolves (6),800.0,Houston Rockets,3-0,MIN
2024,Western,Round 1,Oklahoma City Thunder (1),-700.0,New Orleans Pelicans (8),500.0,Oklahoma City Thunder,4-0,NOP
2022,Western,Round 1,Phoenix Suns (1),-1350.0,New Orleans Pelicans (8),750.0,Phoenix Suns,4-2,NOP
2018,Western,Conf Semis,Golden State Warriors (2),-1050.0,New Orleans Pelicans (6),675.0,Golden State Warriors,4-1,NOP
2018,Western,Round 1,Portland Trail Blazers (3),-220.0,New Orleans Pelicans (6),180.0,New Orleans Pelicans,4-0,NOP
2015,Western,Round 1,Golden State Warriors (1),-3000.0,New Orleans Pelicans (8),1500.0,Golden State Warriors,4-0,NOP
2011,Western,Round 1,Los Angeles Lakers (2),-2500.0,New Orleans Hornets (7),1000.0,Los Angeles Lakers,4-2,NOP
2009,Western,Round 1,Denver Nuggets (2),-210.0,New Orleans Hornets (7),175.0,Denver Nuggets,4-1,NOP
2008,Western,Conf Semis,New Orleans Hornets (2),115.0,San Antonio Spurs (6),-135.0,San Antonio Spurs,4-3,NOP
2008,Western,Round 1,New Orleans Hornets (2),-145.0,Dallas Mavericks (7),125.0,New Orleans Hornets,4-1,NOP
2004,Eastern,Round 1,Miami Heat (4),-277.0,New Orleans Hornets (5),243.0,Miami Heat,4-3,NOP
2003,Eastern,Round 1,Philadelphia 76ers (4),-179.0,New Orleans Hornets (5),150.0,Philadelphia 76ers,4-2,NOP
2024,Eastern,Conf Semis,New York Knicks (2),-260.0,Indiana Pacers (6),220.0,Indiana Pacers,4-3,NYK
2024,Eastern,Round 1,New York Knicks (2),-140.0,Philadelphia 76ers (7),120.0,New York Knicks,4-2,NYK
2023,Eastern,Conf Semis,New York Knicks (5),-160.0,Miami Heat (8),140.0,Miami Heat,4-2,NYK
2023,Eastern,Round 1,Cleveland Cavaliers (4),-190.0,New York Knicks (5),170.0,New York Knicks,4-1,NYK
2021,Eastern,Round 1,New York Knicks (4),110.0,Atlanta Hawks (5),-130.0,Atlanta Hawks,4-1,NYK
2013,Eastern,Conf Semis,New York Knicks (2),-190.0,Indiana Pacers (3),165.0,Indiana Pacers,4-2,NYK
2013,Eastern,Round 1,New York Knicks (2),-410.0,Boston Celtics (7),320.0,New York Knicks,4-2,NYK
2012,Eastern,Round 1,Miami Heat (2),-900.0,New York Knicks (7),650.0,Miami Heat,4-1,NYK
2011,Eastern,Round 1,Boston Celtics (3),-350.0,New York Knicks (6),250.0,Boston Celtics,4-0,NYK
2004,Eastern,Round 1,New Jersey Nets (2),-580.0,New York Knicks (7),500.0,New Jersey Nets,4-0,NYK
2001,Eastern,Round 1,New York Knicks (4),-170.0,Toronto Raptors (5),150.0,Toronto Raptors,3-2,NYK
2000,Eastern,Conf Finals,Indiana Pacers (1),-260.0,New York Knicks (3),220.0,Indiana Pacers,4-2,NYK
2000,Eastern,Conf Semis,Miami Heat (2),-155.0,New York Knicks (3),135.0,New York Knicks,4-3,NYK
2000,Eastern,Round 1,New York Knicks (3),-230.0,Toronto Raptors (6),190.0,New York Knicks,3-0,NYK
1999,,NBA Finals,San Antonio Spurs (1),-900.0,New York Knicks (8),600.0,San Antonio Spurs,4-1,NYK
1999,Eastern,Conf Finals,Indiana Pacers (2),-240.0,New York Knicks (8),200.0,New York Knicks,4-2,NYK
1999,Eastern,Conf Semis,Atlanta Hawks (4),-135.0,New York Knicks (8),115.0,New York Knicks,4-0,NYK
1999,Eastern,Round 1,Miami Heat (1),-280.0,New York Knicks (8),230.0,New York Knicks,3-2,NYK
1998,Eastern,Conf Semis,Indiana Pacers (3),-1100.0,New York Knicks (7),700.0,Indiana Pacers,4-1,NYK
1998,Eastern,Round 1,Miami Heat (2),-500.0,New York Knicks (7),350.0,New York Knicks,3-2,NYK
1997,Eastern,Conf Semis,Miami Heat (2),-145.0,New York Knicks (3),125.0,Miami Heat,4-3,NYK
1997,Eastern,Round 1,New York Knicks (3),-250.0,Charlotte Hornets (6),200.0,New York Knicks,3-0,NYK
1996,Eastern,Conf Semis,Chicago Bulls (1),-3500.0,New York Knicks (5),2200.0,Chicago Bulls,4-1,NYK
1996,Eastern,Round 1,Cleveland Cavaliers (4),-185.0,New York Knicks (5),165.0,New York Knicks,3-0,NYK
1995,Eastern,Conf Semis,New York Knicks (3),-140.0,Indiana Pacers (2),120.0,Indiana Pacers,4-3,NYK
1995,Eastern,Round 1,New York Knicks (3),-400.0,Cleveland Cavaliers (6),300.0,New York Knicks,3-1,NYK
1994,,NBA Finals,Houston Rockets (2),-220.0,New York Knicks (2),180.0,Houston Rockets,4-3,NYK
1994,Eastern,Conf Finals,New York Knicks (2),-200.0,Indiana Pacers (5),170.0,New York Knicks,4-3,NYK
1994,Eastern,Conf Semis,New York Knicks (2),-180.0,Chicago Bulls (3),160.0,New York Knicks,4-3,NYK
1994,Eastern,Round 1,New York Knicks (2),-360.0,New Jersey Nets (7),280.0,New York Knicks,3-1,NYK
1993,Eastern,Conf Finals,New York Knicks (1),130.0,Chicago Bulls (2),-150.0,Chicago Bulls,4-2,NYK
1993,Eastern,Conf Semis,New York Knicks (1),,Charlotte Hornets (5),,New York Knicks,4-1,NYK
1993,Eastern,Round 1,New York Knicks (1),-900.0,Indiana Pacers (8),600.0,New York Knicks,3-1,NYK
1992,Eastern,Conf Semis,Chicago Bulls (1),-2500.0,New York Knicks (4),1700.0,Chicago Bulls,4-3,NYK
1992,Eastern,Round 1,New York Knicks (4),-160.0,Detroit Pistons (5),120.0,New York Knicks,3-2,NYK
1991,Eastern,Round 1,Chicago Bulls (1),-1200.0,New York Knicks (8),800.0,Chicago Bulls,3-0,NYK
1990,Eastern,Conf Semis,Detroit Pistons (1),-1500.0,New York Knicks (5),1000.0,Detroit Pistons,4-1,NYK
1990,Eastern,Round 1,Boston Celtics (4),-450.0,New York Knicks (5),325.0,New York Knicks,3-2,NYK
1989,Eastern,Conf Semis,New York Knicks (2),-450.0,Chicago Bulls (6),300.0,Chicago Bulls,4-2,NYK
1989,Eastern,Round 1,New York Knicks (2),-350.0,Philadelphia 76ers (7),275.0,New York Knicks,3-0,NYK
1988,Eastern,Round 1,Boston Celtics (1),-1200.0,New York Knicks (8),800.0,Boston Celtics,3-1,NYK
1984,Eastern,Conf Semis,Boston Celtics (1),,New York Knicks (5),,Boston Celtics,4-3,NYK
1984,Eastern,Round 1,Detroit Pistons (4),,New York Knicks (5),,New York Knicks,3-2,NYK
1983,Eastern,Conf Semis,Philadelphia 76ers (1),,New York Knicks (5),,Philadelphia 76ers,4-0,NYK
1983,Eastern,Round 1,New Jersey Nets (4),,New York Knicks (5),,New York Knicks,2-0,NYK
1981,Eastern,Round 1,New York Knicks (4),,Chicago Bulls (5),,Chicago Bulls,2-0,NYK
1978,Eastern,Conf Semis,Philadelphia 76ers (1),,New York Knicks (5),,Philadelphia 76ers,4-0,NYK
1978,Eastern,Round 1,Cleveland Cavaliers (4),,New York Knicks (5),,New York Knicks,2-0,NYK
1975,Eastern,Round 1,Houston Rockets (4),,New York Knicks (5),,Houston Rockets,2-1,NYK
1974,Eastern,Conf Finals,Boston Celtics (1),,New York Knicks (3),,Boston Celtics,4-1,NYK
1974,Eastern,Conf Semis,New York Knicks (3),,Capital Bullets (2),,New York Knicks,4-3,NYK
1973,,NBA Finals,Los Angeles Lakers (2),-160.0,New York Knicks (3),140.0,New York Knicks,4-1,NYK
1973,Eastern,Conf Finals,Boston Celtics (1),,New York Knicks (3),,New York Knicks,4-3,NYK
1973,Eastern,Conf Semis,New York Knicks (3),,Baltimore Bullets (2),,New York Knicks,4-1,NYK
1972,,NBA Finals,Los Angeles Lakers (1),-250.0,New York Knicks (3),200.0,Los Angeles Lakers,4-1,NYK
1972,Eastern,Conf Finals,Boston Celtics (1),,New York Knicks (3),,New York Knicks,4-1,NYK
1972,Eastern,Conf Semis,Baltimore Bullets (2),,New York Knicks (3),,New York Knicks,4-2,NYK
1971,Eastern,Conf Finals,New York Knicks (1),,Baltimore Bullets (2),,Baltimore Bullets,4-3,NYK
1971,Eastern,Conf Semis,New York Knicks (1),,Atlanta Hawks (4),,New York Knicks,4-1,NYK
1970,,NBA Finals,New York Knicks (1),-160.0,Los Angeles Lakers (2),140.0,New York Knicks,4-3,NYK
1970,Eastern,Conf Finals,New York Knicks (1),,Milwaukee Bucks (2),,New York Knicks,4-1,NYK
1970,Eastern,Conf Semis,New York Knicks (1),,Baltimore Bullets (3),,New York Knicks,4-3,NYK
1969,Eastern,Conf Finals,New York Knicks (3),,Boston Celtics (4),,Boston Celtics,4-2,NYK
1969,Eastern,Conf Semis,Baltimore Bullets (1),,New York Knicks (3),,New York Knicks,4-0,NYK
1968,Eastern,Conf Semis,Philadelphia 76ers (1),,New York Knicks (3),,Philadelphia 76ers,4-2,NYK
2024,Western,Conf Semis,Oklahoma City Thunder (1),-130.0,Dallas Mavericks (5),110.0,Dallas Mavericks,4-2,OKC
2024,Western,Round 1,Oklahoma City Thunder (1),-700.0,New Orleans Pelicans (8),500.0,Oklahoma City Thunder,4-0,OKC
2020,Western,Round 1,Houston Rockets (4),-160.0,Oklahoma City Thunder (5),140.0,Houston Rockets,4-3,OKC
2019,Western,Round 1,Portland Trail Blazers (3),145.0,Oklahoma City Thunder (6),-165.0,Portland Trail Blazers,4-1,OKC
2018,Western,Round 1,Oklahoma City Thunder (4),-140.0,Utah Jazz (5),120.0,Utah Jazz,4-2,OKC
2017,Western,Round 1,Houston Rockets (3),-390.0,Oklahoma City Thunder (6),320.0,Houston Rockets,4-1,OKC
2016,Western,Conf Finals,Golden State Warriors (1),-430.0,Oklahoma City Thunder (3),345.0,Golden State Warriors,4-3,OKC
2016,Western,Conf Semis,San Antonio Spurs (2),-270.0,Oklahoma City Thunder (3),230.0,Oklahoma City Thunder,4-2,OKC
2016,Western,Round 1,Oklahoma City Thunder (3),-3500.0,Dallas Mavericks (6),1750.0,Oklahoma City Thunder,4-1,OKC
2014,Western,Conf Finals,San Antonio Spurs (1),-245.0,Oklahoma City Thunder (2),205.0,San Antonio Spurs,4-2,OKC
2014,Western,Conf Semis,Oklahoma City Thunder (2),-205.0,Los Angeles Clippers (3),175.0,Oklahoma City Thunder,4-2,OKC
2014,Western,Round 1,Oklahoma City Thunder (2),-500.0,Memphis Grizzlies (7),375.0,Oklahoma City Thunder,4-3,OKC
2013,Western,Conf Semis,Oklahoma City Thunder (1),107.0,Memphis Grizzlies (5),-127.0,Memphis Grizzlies,4-1,OKC
2013,Western,Round 1,Oklahoma City Thunder (1),-1900.0,Houston Rockets (8),875.0,Oklahoma City Thunder,4-2,OKC
2012,,NBA Finals,Oklahoma City Thunder (2),-175.0,Miami Heat (2),155.0,Miami Heat,4-1,OKC
2012,Western,Conf Finals,San Antonio Spurs (1),-205.0,Oklahoma City Thunder (2),175.0,Oklahoma City Thunder,4-2,OKC
2012,Western,Conf Semis,Oklahoma City Thunder (2),-450.0,Los Angeles Lakers (3),350.0,Oklahoma City Thunder,4-1,OKC
2012,Western,Round 1,Oklahoma City Thunder (2),-500.0,Dallas Mavericks (7),400.0,Oklahoma City Thunder,4-0,OKC
2011,Western,Conf Finals,Dallas Mavericks (3),-240.0,Oklahoma City Thunder (4),200.0,Dallas Mavericks,4-1,OKC
2011,Western,Conf Semis,Oklahoma City Thunder (4),-350.0,Memphis Grizzlies (8),275.0,Oklahoma City Thunder,4-3,OKC
2011,Western,Round 1,Oklahoma City Thunder (4),-220.0,Denver Nuggets (5),170.0,Oklahoma City Thunder,4-1,OKC
2010,Western,Round 1,Los Angeles Lakers (1),-800.0,Oklahoma City Thunder (8),600.0,Los Angeles Lakers,4-2,OKC
2005,Western,Conf Semis,San Antonio Spurs (2),-1200.0,Seattle SuperSonics (3),800.0,San Antonio Spurs,4-2,OKC
2005,Western,Round 1,Seattle SuperSonics (3),100.0,Sacramento Kings (6),-120.0,Seattle SuperSonics,4-1,OKC
2002,Western,Round 1,San Antonio Spurs (2),-750.0,Seattle SuperSonics (7),550.0,San Antonio Spurs,3-2,OKC
2000,Western,Round 1,Utah Jazz (2),-650.0,Seattle SuperSonics (7),450.0,Utah Jazz,3-2,OKC
1998,Western,Conf Semis,Seattle SuperSonics (2),-105.0,Los Angeles Lakers (3),-115.0,Los Angeles Lakers,4-1,OKC
1998,Western,Round 1,Seattle SuperSonics (2),-2000.0,Minnesota Timberwolves (7),1400.0,Seattle SuperSonics,3-2,OKC
1997,Western,Conf Semis,Houston Rockets (3),-130.0,Seattle SuperSonics (2),110.0,Houston Rockets,4-3,OKC
1997,Western,Round 1,Seattle SuperSonics (2),-650.0,Phoenix Suns (7),450.0,Seattle SuperSonics,3-2,OKC
1996,,NBA Finals,Chicago Bulls (1),-950.0,Seattle SuperSonics (2),650.0,Chicago Bulls,4-2,OKC
1996,Western,Conf Finals,Seattle SuperSonics (1),-270.0,Utah Jazz (3),210.0,Seattle SuperSonics,4-3,OKC
1996,Western,Conf Semis,Seattle SuperSonics (1),-200.0,Houston Rockets (5),170.0,Seattle SuperSonics,4-0,OKC
1996,Western,Round 1,Seattle SuperSonics (1),-2200.0,Sacramento Kings (8),1500.0,Seattle SuperSonics,3-1,OKC
1995,Western,Round 1,Seattle SuperSonics (4),-400.0,Los Angeles Lakers (5),300.0,Los Angeles Lakers,3-1,OKC
1994,Western,Round 1,Seattle SuperSonics (1),-2000.0,Denver Nuggets (8),1400.0,Denver Nuggets,3-2,OKC
1993,Western,Conf Finals,Phoenix Suns (1),-330.0,Seattle SuperSonics (3),250.0,Phoenix Suns,4-3,OKC
1993,Western,Conf Semis,Seattle SuperSonics (3),-135.0,Houston Rockets (2),115.0,Seattle SuperSonics,4-3,OKC
1993,Western,Round 1,Seattle SuperSonics (3),-350.0,Utah Jazz (6),275.0,Seattle SuperSonics,3-2,OKC
1992,Western,Conf Semis,Utah Jazz (2),-200.0,Seattle SuperSonics (6),160.0,Utah Jazz,4-1,OKC
1992,Western,Round 1,Golden State Warriors (3),-270.0,Seattle SuperSonics (6),210.0,Seattle SuperSonics,3-1,OKC
1991,Western,Round 1,Portland Trail Blazers (1),-1200.0,Seattle SuperSonics (8),800.0,Portland Trail Blazers,3-2,OKC
1989,Western,Conf Semis,Los Angeles Lakers (1),-700.0,Seattle SuperSonics (4),500.0,Los Angeles Lakers,4-0,OKC
1989,Western,Round 1,Seattle SuperSonics (4),-280.0,Houston Rockets (5),230.0,Seattle SuperSonics,3-1,OKC
1988,Western,Round 1,Denver Nuggets (2),-500.0,Seattle SuperSonics (7),350.0,Denver Nuggets,3-2,OKC
1987,Western,Conf Finals,Los Angeles Lakers (1),,Seattle SuperSonics (7),,Los Angeles Lakers,4-0,OKC
1987,Western,Conf Semis,Houston Rockets (6),,Seattle SuperSonics (7),,Seattle SuperSonics,4-2,OKC
1987,Western,Round 1,Dallas Mavericks (2),,Seattle SuperSonics (7),,Seattle SuperSonics,3-1,OKC
1984,Western,Round 1,Dallas Mavericks (4),,Seattle SuperSonics (5),,Dallas Mavericks,3-2,OKC
1983,Western,Round 1,Seattle SuperSonics (4),,Portland Trail Blazers (5),,Portland Trail Blazers,2-0,OKC
1982,Western,Conf Semis,Seattle SuperSonics (3),,San Antonio Spurs (2),,San Antonio Spurs,4-1,OKC
1982,Western,Round 1,Seattle SuperSonics (3),,Houston Rockets (6),,Seattle SuperSonics,2-1,OKC
1980,Western,Conf Finals,Los Angeles Lakers (1),-240.0,Seattle SuperSonics (3),200.0,Los Angeles Lakers,4-1,OKC
1980,Western,Conf Semis,Seattle SuperSonics (3),-150.0,Milwaukee Bucks (2),130.0,Seattle SuperSonics,4-3,OKC
1980,Western,Round 1,Seattle SuperSonics (3),-1000.0,Portland Trail Blazers (6),700.0,Seattle SuperSonics,2-1,OKC
1979,,NBA Finals,Washington Bullets (1),-150.0,Seattle SuperSonics (1),130.0,Seattle SuperSonics,4-1,OKC
1979,Western,Conf Finals,Seattle SuperSonics (1),-160.0,Phoenix Suns (3),140.0,Seattle SuperSonics,4-3,OKC
1979,Western,Conf Semis,Seattle SuperSonics (1),,Los Angeles Lakers (5),,Seattle SuperSonics,4-1,OKC
1978,,NBA Finals,Seattle SuperSonics (4),-140.0,Washington Bullets (3),120.0,Washington Bullets,4-3,OKC
1978,Western,Conf Finals,Denver Nuggets (2),-160.0,Seattle SuperSonics (4),140.0,Seattle SuperSonics,4-2,OKC
1978,Western,Conf Semis,Portland Trail Blazers (1),,Seattle SuperSonics (4),,Seattle SuperSonics,4-2,OKC
1978,Western,Round 1,Seattle SuperSonics (4),,Los Angeles Lakers (5),,Seattle SuperSonics,2-1,OKC
1976,Western,Conf Semis,Seattle SuperSonics (2),,Phoenix Suns (3),,Phoenix Suns,4-2,OKC
1975,Western,Conf Semis,Golden State Warriors (1),,Seattle SuperSonics (5),,Golden State Warriors,4-2,OKC
1975,Western,Round 1,Seattle SuperSonics (4),,Detroit Pistons (5),,Seattle SuperSonics,2-1,OKC
2024,Eastern,Round 1,Cleveland Cavaliers (4),-210.0,Orlando Magic (5),180.0,Cleveland Cavaliers,4-3,ORL
2020,Eastern,Round 1,Milwaukee Bucks (1),-7500.0,Orlando Magic (8),3250.0,Milwaukee Bucks,4-1,ORL
2019,Eastern,Round 1,Toronto Raptors (2),-1200.0,Orlando Magic (7),775.0,Toronto Raptors,4-1,ORL
2012,Eastern,Round 1,Indiana Pacers (3),-800.0,Orlando Magic (6),600.0,Indiana Pacers,4-1,ORL
2011,Eastern,Round 1,Orlando Magic (4),-650.0,Atlanta Hawks (5),425.0,Atlanta Hawks,4-2,ORL
2010,Eastern,Conf Finals,Orlando Magic (2),-260.0,Boston Celtics (4),220.0,Boston Celtics,4-2,ORL
2010,Eastern,Conf Semis,Orlando Magic (2),-800.0,Atlanta Hawks (3),550.0,Orlando Magic,4-0,ORL
2010,Eastern,Round 1,Orlando Magic (2),-1000.0,Charlotte Bobcats (7),650.0,Orlando Magic,4-0,ORL
2009,,NBA Finals,Los Angeles Lakers (1),-280.0,Orlando Magic (3),240.0,Los Angeles Lakers,4-1,ORL
2009,Eastern,Conf Finals,Cleveland Cavaliers (1),-700.0,Orlando Magic (3),550.0,Orlando Magic,4-2,ORL
2009,Eastern,Conf Semis,Boston Celtics (2),-120.0,Orlando Magic (3),100.0,Orlando Magic,4-3,ORL
2009,Eastern,Round 1,Orlando Magic (3),-1400.0,Philadelphia 76ers (6),800.0,Orlando Magic,4-2,ORL
2008,Eastern,Conf Semis,Detroit Pistons (2),-305.0,Orlando Magic (3),255.0,Detroit Pistons,4-1,ORL
2008,Eastern,Round 1,Orlando Magic (3),-310.0,Toronto Raptors (6),260.0,Orlando Magic,4-1,ORL
2007,Eastern,Round 1,Detroit Pistons (1),-2200.0,Orlando Magic (8),1400.0,Detroit Pistons,4-0,ORL
2003,Eastern,Round 1,Detroit Pistons (1),-220.0,Orlando Magic (8),180.0,Detroit Pistons,4-3,ORL
2002,Eastern,Round 1,Charlotte Hornets (4),-300.0,Orlando Magic (5),250.0,Charlotte Hornets,3-1,ORL
2001,Eastern,Round 1,Milwaukee Bucks (2),-500.0,Orlando Magic (7),350.0,Milwaukee Bucks,3-1,ORL
1999,Eastern,Round 1,Orlando Magic (3),-210.0,Philadelphia 76ers (6),175.0,Philadelphia 76ers,3-1,ORL
1997,Eastern,Round 1,Miami Heat (2),-400.0,Orlando Magic (7),300.0,Miami Heat,3-2,ORL
1996,Eastern,Conf Finals,Chicago Bulls (1),-500.0,Orlando Magic (2),350.0,Chicago Bulls,4-0,ORL
1996,Eastern,Conf Semis,Orlando Magic (2),-1800.0,Atlanta Hawks (6),1400.0,Orlando Magic,4-1,ORL
1996,Eastern,Round 1,Orlando Magic (2),-1500.0,Detroit Pistons (7),1000.0,Orlando Magic,3-0,ORL
1995,,NBA Finals,Orlando Magic (1),-150.0,Houston Rockets (6),130.0,Houston Rockets,4-0,ORL
1995,Eastern,Conf Finals,Orlando Magic (1),-200.0,Indiana Pacers (2),170.0,Orlando Magic,4-3,ORL
1995,Eastern,Conf Semis,Orlando Magic (1),165.0,Chicago Bulls (5),-185.0,Orlando Magic,4-2,ORL
1995,Eastern,Round 1,Orlando Magic (1),-950.0,Boston Celtics (8),650.0,Orlando Magic,3-1,ORL
1994,Eastern,Round 1,Orlando Magic (4),-170.0,Indiana Pacers (5),150.0,Indiana Pacers,3-0,ORL
2024,Eastern,Round 1,New York Knicks (2),-140.0,Philadelphia 76ers (7),120.0,New York Knicks,4-2,PHI
2023,Eastern,Conf Semis,Boston Celtics (2),-550.0,Philadelphia 76ers (3),425.0,Boston Celtics,4-3,PHI
2023,Eastern,Round 1,Philadelphia 76ers (3),-1100.0,Brooklyn Nets (6),700.0,Philadelphia 76ers,4-0,PHI
2022,Eastern,Conf Semis,Miami Heat (1),-310.0,Philadelphia 76ers (4),250.0,Miami Heat,4-2,PHI
2022,Eastern,Round 1,Philadelphia 76ers (4),-175.0,Toronto Raptors (5),155.0,Philadelphia 76ers,4-2,PHI
2021,Eastern,Conf Semis,Philadelphia 76ers (1),-175.0,Atlanta Hawks (5),155.0,Atlanta Hawks,4-3,PHI
2021,Eastern,Round 1,Philadelphia 76ers (1),-1000.0,Washington Wizards (8),650.0,Philadelphia 76ers,4-1,PHI
2020,Eastern,Round 1,Boston Celtics (3),-450.0,Philadelphia 76ers (6),360.0,Boston Celtics,4-0,PHI
2019,Eastern,Conf Semis,Toronto Raptors (2),-290.0,Philadelphia 76ers (3),245.0,Toronto Raptors,4-3,PHI
2019,Eastern,Round 1,Philadelphia 76ers (3),-600.0,Brooklyn Nets (6),450.0,Philadelphia 76ers,4-1,PHI
2018,Eastern,Conf Semis,Boston Celtics (2),415.0,Philadelphia 76ers (3),-525.0,Boston Celtics,4-1,PHI
2018,Eastern,Round 1,Philadelphia 76ers (3),-500.0,Miami Heat (6),400.0,Philadelphia 76ers,4-1,PHI
2012,Eastern,Conf Semis,Boston Celtics (4),-205.0,Philadelphia 76ers (8),175.0,Boston Celtics,4-3,PHI
2012,Eastern,Round 1,Chicago Bulls (1),-1400.0,Philadelphia 76ers (8),900.0,Philadelphia 76ers,4-2,PHI
2011,Eastern,Round 1,Miami Heat (2),-2500.0,Philadelphia 76ers (7),1000.0,Miami Heat,4-1,PHI
2009,Eastern,Round 1,Orlando Magic (3),-1400.0,Philadelphia 76ers (6),800.0,Orlando Magic,4-2,PHI
2008,Eastern,Round 1,Detroit Pistons (2),-1300.0,Philadelphia 76ers (7),850.0,Detroit Pistons,4-2,PHI
2005,Eastern,Round 1,Detroit Pistons (2),-1200.0,Philadelphia 76ers (7),800.0,Detroit Pistons,4-1,PHI
2003,Eastern,Conf Semis,Detroit Pistons (1),130.0,Philadelphia 76ers (4),-150.0,Detroit Pistons,4-2,PHI
2003,Eastern,Round 1,Philadelphia 76ers (4),-179.0,New Orleans Hornets (5),150.0,Philadelphia 76ers,4-2,PHI
2002,Eastern,Round 1,Boston Celtics (3),-200.0,Philadelphia 76ers (6),170.0,Boston Celtics,3-2,PHI
2001,,NBA Finals,Los Angeles Lakers (2),-2000.0,Philadelphia 76ers (1),1600.0,Los Angeles Lakers,4-1,PHI
2001,Eastern,Conf Finals,Philadelphia 76ers (1),-180.0,Milwaukee Bucks (2),160.0,Philadelphia 76ers,4-3,PHI
2001,Eastern,Conf Semis,Philadelphia 76ers (1),-340.0,Toronto Raptors (5),280.0,Philadelphia 76ers,4-3,PHI
2001,Eastern,Round 1,Philadelphia 76ers (1),-600.0,Indiana Pacers (8),400.0,Philadelphia 76ers,3-1,PHI
2000,Eastern,Conf Semis,Indiana Pacers (1),-185.0,Philadelphia 76ers (5),165.0,Indiana Pacers,4-2,PHI
2000,Eastern,Round 1,Charlotte Hornets (4),-140.0,Philadelphia 76ers (5),120.0,Philadelphia 76ers,3-1,PHI
1999,Eastern,Conf Semis,Indiana Pacers (2),-400.0,Philadelphia 76ers (6),300.0,Indiana Pacers,4-0,PHI
1999,Eastern,Round 1,Orlando Magic (3),-210.0,Philadelphia 76ers (6),175.0,Philadelphia 76ers,3-1,PHI
1991,Eastern,Conf Semis,Chicago Bulls (1),-500.0,Philadelphia 76ers (5),350.0,Chicago Bulls,4-1,PHI
1991,Eastern,Round 1,Milwaukee Bucks (4),-180.0,Philadelphia 76ers (5),140.0,Philadelphia 76ers,3-0,PHI
1990,Eastern,Conf Semis,Chicago Bulls (3),-160.0,Philadelphia 76ers (2),140.0,Chicago Bulls,4-1,PHI
1990,Eastern,Round 1,Philadelphia 76ers (2),-450.0,Cleveland Cavaliers (7),325.0,Philadelphia 76ers,3-2,PHI
1989,Eastern,Round 1,New York Knicks (2),-350.0,Philadelphia 76ers (7),275.0,New York Knicks,3-0,PHI
1987,Eastern,Round 1,Milwaukee Bucks (4),,Philadelphia 76ers (5),,Milwaukee Bucks,3-2,PHI
1986,Eastern,Conf Semis,Milwaukee Bucks (2),,Philadelphia 76ers (3),,Milwaukee Bucks,4-3,PHI
1986,Eastern,Round 1,Philadelphia 76ers (3),,Washington Bullets (6),,Philadelphia 76ers,3-2,PHI
1985,Eastern,Conf Finals,Boston Celtics (1),,Philadelphia 76ers (3),,Boston Celtics,4-1,PHI
1985,Eastern,Conf Semis,Milwaukee Bucks (2),,Philadelphia 76ers (3),,Philadelphia 76ers,4-0,PHI
1985,Eastern,Round 1,Philadelphia 76ers (3),,Washington Bullets (6),,Philadelphia 76ers,3-1,PHI
